"id","language","last_import_id","title"
"1701838","1309886","BTM:HOTEL:1G0256:253dfc40459e8e28d510198247a81c53","Kassandra"
"1701838","61435","BTM:HOTEL:1G0256:fac37b996fca687cea3efd6184d8b459","Kassandra"
"1701872","1309886","BTM:HOTEL:1G0267:6db588516a860235cb8f02ebe5e0f8dc","Sachsenhof am Nollendorfplatz"
"1701872","61435","BTM:HOTEL:1G0267:c4ef0a6f986b6bd60b6301e7bdb97438","Sachsenhof am Nollendorfplatz"
"1701908","61435","BTM:HOTEL:1G0295:3bf34d22bf367ede7b943354f712dfee","Atrium Berlin"
"1701908","1309886","BTM:HOTEL:1G0295:5a2e352b534f6f2401d2b3d2d6e4a30a","Atrium Berlin"
"1701941","1309886","BTM:HOTEL:1G0364:b5fb1d06bc4f6ef51b449e24cb0c179b","Mark Apart Hotel"
"1701941","61435","BTM:HOTEL:1G0364:e55457c6e3c88de9c5a0c921a570594c","Mark Apart Hotel"
"1701978","1309886","BTM:HOTEL:1G0465:9f5ac2c6a4f06a473e67d2293137a7b1","Hotel Gates Berlin"
"1701978","61435","BTM:HOTEL:1G0465:f8afcefc0fe493d5c975ba4ef8753f51","Hotel Gates Berlin"
"1702009","61435","BTM:HOTEL:1G0475:16c7491aed6cfd2838944e3e6e80721e","Arta Lenz Hotel"
"1702009","1309886","BTM:HOTEL:1G0475:62ad8dc519836b1fb7c34d8055254960","Arta Lenz Hotel"
"2528387","61435","BTM:HOTEL:1G0612:ab1cfd66b86084745c2dabe961f255fe","Precise Casa Hotel"
"1702042","1309886","BTM:HOTEL:1G0615:022cc08de56d1f9c2d115d0589f09a5b","Aida"
"1702042","61435","BTM:HOTEL:1G0615:403a84d563d8a58d8993faa6eaf78937","Aida"
"1702079","1309886","BTM:HOTEL:1G0623:65fc78482f0211f515cd479ab4d59cde","Hôtel Concorde Berlin"
"1702079","61435","BTM:HOTEL:1G0623:995da34731380bfe69a26d518e3e24e3","Hôtel Concorde Berlin"
"1702119","61435","BTM:HOTEL:1G0624:ec5cd647129b2d8372540a93f61cd449","Ibis Berlin Messe"
"1702119","1309886","BTM:HOTEL:1G0624:f95f95f2af9c59dd67b05e5547fd7ccb","Ibis Berlin Messe"
"1702155","61435","BTM:HOTEL:1G0643:36cd260039b134d42d3d9ee551e502cb","Grand City Hotel Berlin Zentrum"
"1702155","1309886","BTM:HOTEL:1G0643:cbceaee818b10f95589be5f120b1ec6f","Grand City Hotel Berlin Zentrum"
"1710563","61435","BTM:HOTEL:1G0661:0644729234f7f551cb6bf27d46b2ec28","Canaletto"
"1710563","1309886","BTM:HOTEL:1G0661:089846d88eb060af453ed944f18ddd79","Canaletto"
"1702191","1309886","BTM:HOTEL:1G0665:5a47a7510431587fdb184bc326ea931b","CENTRAL INN"
"1702191","61435","BTM:HOTEL:1G0665:bcbd5afb5d0630d1d4122e8eb82fbf71","CENTRAL INN"
"1702224","1309886","BTM:HOTEL:1G0670:b9678b94a19c522842efe019bb70fd9b","Metropolitan Hotel"
"1702224","61435","BTM:HOTEL:1G0670:c8cb2e23caa84e871cb3af55767e39e5","Metropolitan Hotel"
"2515618","61435","BTM:HOTEL:1G0682:1181509e968fc1c5d6165541a82ad55e","Arche"
"2515618","1309886","BTM:HOTEL:1G0682:fa40ae69013015903802b1ab7f2b87c0","Arche"
"2528410","61435","BTM:HOTEL:1G0691:36e72ca2f0ae07208034e55b55b02459","Regenbogen"
"1702257","1309886","BTM:HOTEL:1G0718:a3c8ff39d7c85e91847233fbf6696d43","B&B Hotel Berlin - Potsdamer Platz"
"1702257","61435","BTM:HOTEL:1G0718:e4258873d07fe5f7c3774aa9e605e40b","B&B Hotel Berlin - Potsdamer Platz"
"1702293","1309886","BTM:HOTEL:1G0745:b685f6d9eeb3ab126ea300051f14f3b3","Best Western Premier Hotel Moa Berlin"
"1702293","61435","BTM:HOTEL:1G0745:d289dbfcd6e54817449219e6998ef925","Best Western Premier Hotel Moa Berlin"
"1702333","1309886","BTM:HOTEL:1G0746:00112beeec5a67e6947e75484016ea16","Motel One Berlin Bellevue"
"1702333","61435","BTM:HOTEL:1G0746:991388c7157bd9caefc6928379cc8d08","Motel One Berlin Bellevue"
"1702368","1309886","BTM:HOTEL:1G0748:6edc5996ba8d88664545b7cb6447c4bb","Motel One Berlin-Tiergarten"
"1702368","61435","BTM:HOTEL:1G0748:fc6dca6d75fb9074a972af1cdad3c910","Motel One Berlin-Tiergarten"
"2516028","1309886","BTM:HOTEL:1G0765:e982134839bbb1b8f4cb9bdb485e1b3b","Hotel Alexander"
"2516028","61435","BTM:HOTEL:1G0765:f7f47618441009162930e29f4bb44264","Hotel Alexander"
"2527790","61435","BTM:HOTEL:1G0775:5b3216b5dd0c3ee1d79c1ae6387aec1e","Ibis Hotel Berlin City West"
"2528201","61435","BTM:HOTEL:1G0798:815d1cdd2e27f483d9edb5cabeb71c2f","NH Berlin Kurfürstendamm"
"2528159","61435","BTM:HOTEL:1G0799:db193c2d50855d269b92eabab5a89865","NH Berlin City West"
"1702403","1309886","BTM:HOTEL:1H0001:2cd60e9138040314b21a6b1e1720b891","Hotel City Gallery Berlin"
"1702403","61435","BTM:HOTEL:1H0001:955240f5514f6744cb7632e9349e65cd","Hotel City Gallery Berlin"
"1702438","1309886","BTM:HOTEL:1H0006:3b7a227adeb04f796203a7222e8748e0","Astoria am Kurfürstendamm"
"1702438","61435","BTM:HOTEL:1H0006:eee53fe298fe0e11f9bc35d9d8299853","Astoria am Kurfürstendamm"
"1702475","1309886","BTM:HOTEL:1H0010:cbeb85cdac63b879df810091c2550184","Palace Berlin"
"1702475","61435","BTM:HOTEL:1H0010:febf31069a66b5a37fba7c6b0d2900cf","Palace Berlin"
"1702510","61435","BTM:HOTEL:1H0013:4e37557b39f91ef423c2d4a1e20dc132","Best Western Hotel Kantstrasse Berlin"
"1702510","1309886","BTM:HOTEL:1H0013:9e5fa5da29925281ba50e40c59487d22","Best Western Hotel Kantstrasse Berlin"
"1702547","1309886","BTM:HOTEL:1H0014:16d54b338fa1ae7d734e5afff0a44784","Steigenberger Hotel Berlin"
"1702547","61435","BTM:HOTEL:1H0014:a07f4a9a30ca4baf3dfd7a16751b2ced","Steigenberger Hotel Berlin"
"1702582","61435","BTM:HOTEL:1H0015:26cf42e01d606c12ab9c0ef3944b069a","Bleibtreu Berlin"
"1702582","1309886","BTM:HOTEL:1H0015:2b17f967f1bde01987492ce560d941da","Bleibtreu Berlin"
"1702620","61435","BTM:HOTEL:1H0016:3e8c96e3ad9ee3f5d849ac1f3ca0c741","Berliner Hof"
"1702620","1309886","BTM:HOTEL:1H0016:ea263064b0beaa2e8700d2d287c13722","Berliner Hof"
"1702658","1309886","BTM:HOTEL:1H0017:65ec214226666a991d5d58fa5aa4f8c0","Alsterhof Berlin"
"1702658","61435","BTM:HOTEL:1H0017:7c654e9e9675b991dfc0f13152734dda","Alsterhof Berlin"
"1702695","61435","BTM:HOTEL:1H0018:09ea1dd263bac43fc421abb8ace377bf","Savoy Berlin"
"1702695","1309886","BTM:HOTEL:1H0018:8522ee7433b9acba703a74c4ca53096d","Savoy Berlin"
"1702731","61435","BTM:HOTEL:1H0020:17e617e3ced990a3bec8d204e168d747","Hotel Residenz Berlin"
"1702731","1309886","BTM:HOTEL:1H0020:9475d0b16893efe220f9c4dd151bb229","Hotel Residenz Berlin"
"1702767","1309886","BTM:HOTEL:1H0022:6b56660be63ed25520dcb5b2cfe22e15","Kempinski Hotel Bristol Berlin"
"1702767","61435","BTM:HOTEL:1H0022:c1b2ee55a10bdd164dcd12f49442dc07","Kempinski Hotel Bristol Berlin"
"1702803","61435","BTM:HOTEL:1H0024:1b57ebd7916ea043e63002f4c7ed9deb","Brandenburger Hof Berlin"
"1702803","1309886","BTM:HOTEL:1H0024:232dbf4562e6af2ef736e3cca202c2ed","Brandenburger Hof Berlin"
"1702839","1309886","BTM:HOTEL:1H0026:3af1f1fcf7595b18189fe2f68fca7cd0","California am Kurfürstendamm"
"1702839","61435","BTM:HOTEL:1H0026:d8d64430cf922e9db4eebd9d9cdd7591","California am Kurfürstendamm"
"1702875","61435","BTM:HOTEL:1H0029:2e76a13aae9f42e0bf0549388986ae68","Golden Tulip Berlin - Hotel Hamburg"
"1702875","1309886","BTM:HOTEL:1H0029:ae94e91c9ce0f5d6fb44dff01130e52d","Golden Tulip Berlin - Hotel Hamburg"
"1702911","61435","BTM:HOTEL:1H0031:782bc295a17f78f39425b752ae7b53ea","Mondial"
"1702911","1309886","BTM:HOTEL:1H0031:91d55b499857df8a5a483be1620ea2ae","Mondial"
"1702946","1309886","BTM:HOTEL:1H0034:0e18f89899c540ac63c0d8bd52998174","Hotel Castor the Vine"
"1702946","61435","BTM:HOTEL:1H0034:4e572b6f9c8ec83f1454e45c41c4c91e","Hotel Castor the Vine"
"1702981","1309886","BTM:HOTEL:1H0042:072412f8bc79bf70ca94286516a3614b","Best Western Queens Hotel Berlin City West"
"1702981","61435","BTM:HOTEL:1H0042:b096fdc655d4036a4d54e524b314de8b","Best Western Queens Hotel Berlin City West"
"1703019","1309886","BTM:HOTEL:1H0052:0f9a26d4298e34f9d53ec7f18beadfc3","Crowne Plaza Berlin City Centre"
"1703019","61435","BTM:HOTEL:1H0052:facdb0f81383ce169a331f89b6114983","Crowne Plaza Berlin City Centre"
"1703057","1309886","BTM:HOTEL:1H0058:6ee4f280cc5ade229b65a951a7b88889","Lindemann Fjord Hotel Berlin"
"1703057","61435","BTM:HOTEL:1H0058:94c25bf786fcf75858eb4e096e779f63","Lindemann Fjord Hotel Berlin"
"1703094","61435","BTM:HOTEL:1H0081:2ede95c4a559684beb7b9ceaa4531e5e","Grand Hotel Esplanade Berlin"
"1703094","1309886","BTM:HOTEL:1H0081:5301877188a5da2f8827c4ba586776fe","Grand Hotel Esplanade Berlin"
"1703127","1309886","BTM:HOTEL:1H0083:2b1f5cb09483bf6f088a9df0f4ca3f98","Hotel InterContinental Berlin"
"1703127","61435","BTM:HOTEL:1H0083:591b554f9f34d32d214388c15d01e6cc","Hotel InterContinental Berlin"
"1703160","1309886","BTM:HOTEL:1H0086:024c2433bfa0efa873f8a9929a3d1231","Hecker's Hotel Kurfürstendamm"
"1703160","61435","BTM:HOTEL:1H0086:19ad1d21cf2d92b407db490d3cde7585","Hecker's Hotel Kurfürstendamm"
"1703195","61435","BTM:HOTEL:1H0109:559b0ae3914093c7ef2cfa1c692067ff","Grand City Hotel Berlin Ku'Damm"
"1703195","1309886","BTM:HOTEL:1H0109:5f727a8c8f1e4a91207f672044b24f42","Grand City Hotel Berlin Ku'Damm"
"1703233","61435","BTM:HOTEL:1H0114:77c9ab7147e53c83a49654478780ce92","Hotel Berlin, Berlin"
"1703233","1309886","BTM:HOTEL:1H0114:ffbc0c178495e9be4adc3b21c24126f4","Hotel Berlin, Berlin"
"1703270","1309886","BTM:HOTEL:1H0142:117f6437b1a29f912c87197cae39b16f","Sylter Hof Berlin"
