"id","language","last_import_id","title"
"1625439","61435","Tip:Filemaker:13954:b1f199fdddc232c204d2762b07e0897a","Barcomi’s Kaffeerösterei"
"1680542","61435","Tip:Filemaker:13957:3aa78fbb643e86d652cb1dfc1550ca7b","Café Restaurant Bleibtreu"
"1626938","61435","Tip:Filemaker:13959:95f00e57cd676a850923a060558f72fa","Buchwald Café Konditorei"
"1680345","61435","Tip:Filemaker:13964:e10d38d35209fb38580f3043b806695f","Café Hagenplatz"
"1680171","61435","Tip:Filemaker:13966:7d1bf28795a37b5afdf5faec0d514ef6","Café am Neuen See"
"1680188","61435","Tip:Filemaker:13967:8b91189dfcdabd1dd409ef9624d82613","Café am See im Britzer Garten"
"1630211","61435","Tip:Filemaker:13968:ec992ca91dc2761790a62156660bd7a4","Emil"
"1627159","61435","Tip:Filemaker:13969:84923c6640140717e79a84ef21d57c7b","Café am Ufer"
"1625830","61435","Tip:Filemaker:13972:1067559dac3a6174d0641b6068b3c648","Berio"
"1627232","61435","Tip:Filemaker:13977:72471fd049794c2836c50a2711745140","Café Cinema CC"
"1627324","61435","Tip:Filemaker:13984:ef3b910edc168f2021b8cff4476e62db","Café im Literaturhaus"
"1627353","61435","Tip:Filemaker:13986:47d11249c338da95bb4b424d71b91dce","Café in der Schwartzschen Villa"
"1680416","61435","Tip:Filemaker:13991:8aa1a9429269a1ddce450db1c61d69bf","Café L&B"
"1645878","61435","Tip:Filemaker:13992:ebd51dfdff694455476c2e569955ffeb","WAU-Wirtshaus am Ufer"
"1635883","61435","Tip:Filemaker:13993:a777d45dbcf3e2f45ee011450c5c1c5c","LebensArt"
"1680262","61435","Tip:Filemaker:13996:a99d661127e36c7b5c050d818e7dc574","Café Checker"
"1627525","61435","Tip:Filemaker:13998:f368ea4c8772a0b21ce8b6cf1f7ecd0e","Café Olé"
"1680501","61435","Tip:Filemaker:13999:492bcf26abd7efd93fed8e1b8049241c","Café Orange"
"1627639","61435","Tip:Filemaker:14002:9363c5883f31f341438a111a588b6576","Café Rix"
"1680576","61435","Tip:Filemaker:14004:9fc364438486b14fb04c77dd6b636628","Café Springfeld"
"1786076","61435","Tip:Filemaker:14009:2b9bef1773d72091b3642246da0b2c3a","Butter"
"1630091","61435","Tip:Filemaker:14010:c12d4d10e3dd9957311536f729064e56","Einstein"
"1630108","61435","Tip:Filemaker:14011:44e19f9751db6b37d6ec8680d50721d1","Einstein"
"1680358","61435","Tip:Filemaker:14015:8c8f420e889a44e2eb56e54a02da141d","Café Hardenberg"
"1682648","61435","Tip:Filemaker:14018:be1fcf7d3dd909f91214d043cd604d91","Kleisther"
"1680459","61435","Tip:Filemaker:14021:18f3d531b74995e3261155bd5a1461ba","Café Marx"
"1683378","61435","Tip:Filemaker:14022:a88f675e942c137bab902ad5d9a197bb","Mauerblümchen"
"1638403","61435","Tip:Filemaker:14023:6d64fd561e7c432ef830c36cec41b638","Morena"
"1638571","61435","Tip:Filemaker:14024:12163b5741a01de28716d2fcaa3cb700","Mutter"
"1639009","61435","Tip:Filemaker:14025:cae7a87dfc475adc122135057e3d1206","November"
"1640376","61435","Tip:Filemaker:14028:91c905e44a4f3228766945a0c5dc5567","Quasimodo"
"1642157","61435","Tip:Filemaker:14031:c2bd6cc4a5752ebacf9f56915d927655","Savarin"
